Physical Exchange ID,Certificate Source,Certificate Number,CUSIP,Old Security Code,New Security Code,Client Account,Currency,Share Quantity,Booked Box Account,Transfer Box Account,Certificate Negotiable Flag,Medallion Guarantee Present Flag,Power Of Attorney Required Flag,Estate Account Flag,Transfer Agent,Law Firm,Submission Method,Submission Date,Submission Deadline Met Flag,Transfer Panel Created Flag,Documents Scanned Flag,Counter Receipt Number,DTC Deposit ID,Courier Tracking Number,Cheque Received Flag,Cheque Amount,CIL Required Flag,Accrued Dividend Required Flag,JEFE Entry Required Flag,JEFE Reference ID,Reject Reason,Certificate Confiscated Flag,Returned To Branch Flag,Final Status
PHX-080030,Vault Inventory,C-996433,SV4W8AHWD,S918973,S462195,ACCT-928092,USD,23632,BX-805,TBX-813,Y,Y,N,N,Equiniti,Holloway & Penhaligon LLP,Courier,2025-12-23,Y,Y,Y,RCT-915771,,TRK357634973,Y,191678.61,N,N,Y,JEFE-581122,,Y,N,Confiscated
PHX-080031,Branch Submission,C-533999,D8W72I6BN,S758381,S997319,ACCT-625424,CAD,5122,BX-644,TBX-971,Y,Y,N,N,AST Trust,Trevelyan Underhill,CDS Envelope,2026-04-04,Y,Y,Y,RCT-972942,,,N,,Y,N,Y,JEFE-823937,,N,N,Completed
PHX-080032,Transfer Agent Return,C-922435,WDWRWP8Y3,S079118,S079118,ACCT-379380,GBP,17826,BX-895,TBX-534,Y,Y,N,N,AST Trust,,DTC Damp,2025-08-30,Y,Y,Y,RCT-805841,DEP-8942406,,N,,N,Y,N,,,N,N,In Progress
PHX-080033,Client Walk-In,C-499308,9F29Z3D8B,S205100,S205100,ACCT-429040,USD,18138,BX-328,TBX-747,Y,Y,N,N,Equiniti,,CDS Envelope,2026-02-08,Y,Y,Y,RCT-520727,,,Y,113334.37,N,Y,N,,,N,N,In Progress
PHX-080034,Transfer Agent Return,C-441843,P0AZVPYSL,S467524,S467524,ACCT-942275,CAD,22251,BX-579,TBX-639,Y,Y,N,N,TSX Trust,Marchetti Stensgaard,Courier,2025-10-10,Y,Y,Y,RCT-249008,,TRK736047918,Y,192794.03,N,N,N,,,N,N,Awaiting Transfer Agent
PHX-080035,Branch Submission,C-303361,SDAN28YVA,S082151,S075330,ACCT-150305,CAD,8493,BX-616,TBX-503,Y,Y,N,N,Continental Stock Transfer,,CDS Envelope,2025-07-15,Y,Y,Y,RCT-705179,,,Y,188995.67,N,N,Y,JEFE-211080,,N,N,In Progress
PHX-080036,Reorg Department,C-520440,LFN5ZWT0L,S694615,S694615,ACCT-303442,USD,14453,BX-980,TBX-731,Y,Y,N,N,AST Trust,Holloway & Penhaligon LLP,DTC Damp,2026-02-01,Y,Y,Y,RCT-456145,DEP-3154741,,Y,150544.47,N,N,N,,,N,N,In Progress
PHX-080037,Client Walk-In,C-331157,IYTFUDECA,S179923,S303366,ACCT-956116,CAD,3965,BX-236,TBX-269,Y,Y,N,N,Equiniti,,CDS Envelope,2026-02-12,Y,Y,Y,RCT-650879,,,N,,Y,N,N,,,N,N,Awaiting Transfer Agent
PHX-080038,Estate Submission,C-323003,MFJ6SEMJ8,S659233,S947437,ACCT-461721,USD,24677,BX-815,TBX-818,Y,Y,Y,N,Computershare,,Courier,2026-03-05,Y,Y,Y,RCT-146137,,TRK543490977,N,,N,Y,N,,,N,N,In Progress
PHX-080039,Branch Submission,C-302731,GZ023BQ12,S432184,S031501,ACCT-878428,USD,3683,BX-221,TBX-155,Y,N,N,N,Equiniti,Marchetti Stensgaard,Courier,2026-05-16,Y,Y,Y,RCT-222642,,TRK830942724,Y,31953.16,N,N,Y,JEFE-761457,,N,N,Awaiting Transfer Agent
PHX-080040,Branch Submission,C-321067,0I0S2SFXQ,S352499,S024028,ACCT-536652,GBP,11336,BX-293,TBX-980,Y,Y,N,N,AST Trust,Marchetti Stensgaard,Courier,2025-09-22,Y,Y,Y,RCT-472442,,TRK507976577,Y,176924.25,N,N,N,,,N,N,Completed
PHX-080041,Estate Submission,C-169264,WBQC56WOF,S378173,S378173,ACCT-772569,USD,16197,BX-233,TBX-260,Y,Y,N,N,Computershare,Marchetti Stensgaard,CDS Envelope,2025-12-16,Y,Y,Y,RCT-251121,,,Y,164512.2,N,N,Y,JEFE-769853,,N,N,Awaiting Transfer Agent
PHX-080042,Reorg Department,C-499613,243Q63M0K,S364869,S364869,ACCT-859517,USD,17074,BX-768,TBX-332,Y,Y,N,N,Continental Stock Transfer,Bramwell Caldera,Over-the-Counter,2025-09-13,Y,Y,Y,RCT-974477,,,Y,90542.69,N,Y,Y,JEFE-288324,,N,N,In Progress
PHX-080043,Branch Submission,C-151844,84TO591S1,S063931,S017543,ACCT-727535,GBP,11037,BX-888,TBX-948,N,N,N,N,AST Trust,Holloway & Penhaligon LLP,DTC Damp,2026-03-09,Y,N,Y,RCT-678280,DEP-4998522,,Y,48308.09,Y,Y,N,,,N,N,Completed
PHX-080044,Estate Submission,C-994145,6LXRQUAZG,S327353,S031501,ACCT-482315,CAD,11695,BX-532,TBX-989,Y,Y,N,N,AST Trust,Devereux Eastwick,Over-the-Counter,2026-04-09,Y,Y,Y,RCT-611395,,,Y,112416.04,N,N,Y,JEFE-524486,,N,N,In Progress
PHX-080045,Vault Inventory,C-360468,6RXNT96UV,S957888,S957888,ACCT-815987,USD,10082,BX-479,TBX-877,Y,Y,N,N,Computershare,Devereux Eastwick,Courier,2025-06-29,Y,Y,Y,RCT-210332,,TRK788676537,Y,198057.65,Y,Y,N,,,N,N,Awaiting Transfer Agent
PHX-080046,Vault Inventory,C-357676,ES28GW5H9,S534410,S709794,ACCT-199376,USD,10592,BX-695,TBX-808,Y,Y,N,N,Computershare,,DTC Damp,2026-02-05,Y,Y,Y,RCT-674308,DEP-4280013,,Y,91904.28,Y,N,N,,,N,N,Completed
PHX-080047,Estate Submission,C-225056,XZLLXH802,S699641,S068458,ACCT-135581,USD,7258,BX-931,TBX-110,Y,Y,N,N,AST Trust,,Courier,2026-04-08,Y,Y,Y,RCT-773537,,TRK189905006,Y,716.29,N,Y,Y,JEFE-232679,,N,N,In Progress
PHX-080048,Vault Inventory,C-150242,FHAEGO4OU,S449775,S396443,ACCT-299685,CAD,4367,BX-359,TBX-167,Y,Y,N,N,Equiniti,,Over-the-Counter,2026-02-15,Y,Y,Y,RCT-376384,,,N,,N,Y,Y,JEFE-616589,POA expired,N,Y,Returned to Branch
PHX-080049,Estate Submission,C-312522,BR0KI3125,S843399,S352887,ACCT-695018,GBP,8820,BX-264,TBX-337,Y,Y,N,N,AST Trust,,CDS Envelope,2026-02-12,Y,Y,Y,RCT-846101,,,Y,174072.26,Y,N,Y,JEFE-579377,,N,N,In Progress
PHX-080050,Estate Submission,C-746629,GR05JG2E3,S096519,S096519,ACCT-604616,GBP,19064,BX-884,TBX-582,Y,Y,Y,N,AST Trust,Bramwell Caldera,Over-the-Counter,2025-10-06,Y,Y,Y,RCT-599832,,,Y,199712.34,Y,N,Y,JEFE-266637,,N,N,Completed
PHX-080051,Client Walk-In,C-383387,IPUFV2XFR,S503775,S503775,ACCT-361053,USD,21727,BX-426,TBX-261,N,N,N,Y,TSX Trust,Marchetti Stensgaard,Courier,2026-05-19,Y,N,Y,RCT-760215,,TRK133205718,N,,N,N,N,,,N,N,Awaiting Transfer Agent
PHX-080052,Transfer Agent Return,C-904400,JDI5ESH71,S505299,S505299,ACCT-975637,CAD,21006,BX-693,TBX-835,Y,N,N,N,Computershare,Trevelyan Underhill,Over-the-Counter,2025-07-13,Y,Y,Y,RCT-997342,,,N,,N,N,N,,,N,N,Completed
PHX-080053,Client Walk-In,C-713559,YPFVBESJE,S016773,S833480,ACCT-509017,USD,4724,BX-656,TBX-744,Y,Y,N,N,TSX Trust,Trevelyan Underhill,CDS Envelope,2025-12-12,Y,Y,Y,RCT-571774,,,Y,197531.95,Y,N,N,,,N,N,In Progress
PHX-080054,Client Walk-In,C-964237,CLUG2YRGC,S705499,S082151,ACCT-537209,GBP,21085,BX-918,TBX-274,Y,Y,N,Y,Equiniti,Devereux Eastwick,Over-the-Counter,2026-01-21,Y,Y,Y,RCT-211494,,,Y,173011.83,N,Y,N,,,N,N,Completed
PHX-080055,Transfer Agent Return,C-313721,CFH0LWDKB,S725323,S609177,ACCT-235821,USD,3019,BX-180,TBX-661,Y,Y,N,N,AST Trust,,Courier,2025-07-11,Y,Y,Y,RCT-583908,,TRK682105080,Y,185945.12,N,N,N,,,N,N,Awaiting Transfer Agent
PHX-080056,Branch Submission,C-721760,YAS8DLQQ7,S639716,S385221,ACCT-448318,USD,9930,BX-206,TBX-149,Y,Y,N,N,Equiniti,,Courier,2025-11-21,Y,Y,Y,RCT-614544,,TRK444225818,N,,Y,N,Y,JEFE-431825,Missing medallion,N,Y,Returned to Branch
PHX-080057,Estate Submission,C-468814,SIDDRYO1O,S643872,S749999,ACCT-128993,CAD,24162,BX-388,TBX-667,Y,Y,N,N,Computershare,,DTC Damp,2025-07-06,N,Y,Y,RCT-421582,DEP-8316222,,N,,Y,Y,N,,,N,N,In Progress
PHX-080058,Vault Inventory,C-140019,AIEWVKQAJ,S273150,S273150,ACCT-285716,CAD,12142,BX-185,TBX-741,N,N,N,N,Equiniti,Bramwell Caldera,CDS Envelope,2025-06-07,Y,N,Y,RCT-664284,,,Y,122361.04,N,N,N,,,N,N,Completed
PHX-080059,Estate Submission,C-686983,MY3EKSVKF,S210795,S600207,ACCT-390153,USD,17311,BX-551,TBX-365,Y,Y,Y,N,TSX Trust,,DTC Damp,2025-08-07,Y,Y,Y,RCT-960250,DEP-4168773,,Y,12884.64,N,N,Y,JEFE-907801,,N,N,Completed
PHX-080060,Vault Inventory,C-381828,JPAUSQ8OW,S267070,S519946,ACCT-214076,USD,6785,BX-315,TBX-302,Y,Y,N,N,Computershare,Bramwell Caldera,Over-the-Counter,2025-06-02,Y,Y,Y,RCT-770365,,,N,,N,N,N,,,Y,N,Confiscated
PHX-080061,Vault Inventory,C-785141,NOS5NV2EQ,S519946,S864645,ACCT-488042,CAD,4017,BX-575,TBX-747,Y,N,N,N,Continental Stock Transfer,,Courier,2025-09-17,Y,Y,Y,RCT-189497,,TRK107774553,Y,79202.9,N,N,N,,,N,N,Completed
PHX-080062,Client Walk-In,C-160868,UMI7SWFX9,S315860,S222702,ACCT-967706,USD,20996,BX-978,TBX-461,Y,Y,N,N,Continental Stock Transfer,Holloway & Penhaligon LLP,CDS Envelope,2026-04-21,Y,Y,Y,RCT-403102,,,Y,22994.56,N,Y,Y,JEFE-885813,,N,N,In Progress
PHX-080063,Branch Submission,C-182775,S98OAS50E,S246806,S210795,ACCT-872747,GBP,13102,BX-716,TBX-551,Y,Y,N,N,TSX Trust,Devereux Eastwick,CDS Envelope,2025-11-25,Y,Y,Y,RCT-147007,,,Y,183179.38,Y,Y,N,,,N,N,Completed
PHX-080064,Transfer Agent Return,C-848357,6RXNT96UV,S957888,S649062,ACCT-535283,CAD,15497,BX-396,TBX-156,Y,Y,N,N,TSX Trust,Trevelyan Underhill,Courier,2026-03-31,N,Y,Y,RCT-924863,,TRK503428779,N,,N,N,Y,JEFE-418937,,N,N,In Progress
PHX-080065,Estate Submission,C-764719,UFPYRP15N,S352887,S932609,ACCT-582818,USD,14495,BX-557,TBX-533,Y,Y,N,N,Continental Stock Transfer,,Over-the-Counter,2026-03-26,Y,Y,Y,RCT-389890,,,Y,174758.61,Y,N,Y,JEFE-151167,,N,N,In Progress
PHX-080066,Reorg Department,C-650081,BNWJM9ZT4,S882089,S009268,ACCT-466479,GBP,1422,BX-604,TBX-187,Y,Y,N,Y,Continental Stock Transfer,Holloway & Penhaligon LLP,DTC Damp,2025-10-14,Y,Y,Y,RCT-766459,DEP-2289226,,Y,147645.59,Y,N,N,,,N,N,Awaiting Transfer Agent
PHX-080067,Branch Submission,C-280784,EO530JMR8,S202269,S202269,ACCT-207684,GBP,3294,BX-273,TBX-185,Y,Y,N,N,TSX Trust,Marchetti Stensgaard,Courier,2025-07-26,Y,Y,Y,RCT-355202,,TRK282867706,Y,176390.34,Y,N,Y,JEFE-994792,,N,N,In Progress
PHX-080068,Branch Submission,C-373229,WWNQC46JT,S064793,S064793,ACCT-587883,CAD,22315,BX-771,TBX-476,Y,Y,N,Y,Computershare,Bramwell Caldera,Over-the-Counter,2025-09-01,N,Y,Y,RCT-558613,,,Y,117716.05,N,N,N,,,N,N,Awaiting Transfer Agent
PHX-080069,Branch Submission,C-696694,578AL1VVF,S252282,S505299,ACCT-715845,GBP,8832,BX-166,TBX-244,Y,Y,Y,N,Continental Stock Transfer,Trevelyan Underhill,Courier,2025-12-03,N,Y,Y,RCT-772592,,TRK438617165,Y,138976.52,N,N,Y,JEFE-326738,,N,N,Awaiting Transfer Agent
PHX-080070,Vault Inventory,C-498845,74MRZA1Z1,S389040,S389040,ACCT-753113,CAD,14013,BX-116,TBX-394,Y,Y,N,N,TSX Trust,,Over-the-Counter,2025-06-03,Y,Y,Y,RCT-773715,,,Y,142270.7,N,N,Y,JEFE-877818,,N,N,Awaiting Transfer Agent
PHX-080071,Reorg Department,C-109268,MDEPLR4KR,S651788,S017543,ACCT-262106,CAD,22662,BX-148,TBX-596,Y,Y,Y,N,Equiniti,Devereux Eastwick,Over-the-Counter,2026-05-10,Y,Y,Y,RCT-431222,,,N,,N,N,Y,JEFE-284003,,N,N,Awaiting Transfer Agent
PHX-080072,Client Walk-In,C-797169,M9AN33RDP,S811067,S811067,ACCT-297104,CAD,8046,BX-504,TBX-538,Y,Y,N,N,Continental Stock Transfer,Devereux Eastwick,Over-the-Counter,2025-08-19,Y,Y,Y,RCT-248238,,,Y,36736.36,Y,N,Y,JEFE-147561,,N,N,Awaiting Transfer Agent
PHX-080073,Transfer Agent Return,C-148678,P7AMV17FX,S073457,S073457,ACCT-422840,USD,3864,BX-397,TBX-230,Y,Y,N,N,Equiniti,Bramwell Caldera,CDS Envelope,2025-10-09,Y,Y,Y,RCT-908919,,,N,,Y,N,Y,JEFE-647685,,Y,N,Confiscated
PHX-080074,Reorg Department,C-734519,W9DJSSI40,S821591,S671081,ACCT-734370,CAD,4438,BX-596,TBX-114,Y,Y,N,N,AST Trust,Devereux Eastwick,DTC Damp,2025-09-04,Y,Y,Y,RCT-312505,DEP-2574255,,Y,112144.55,N,N,Y,JEFE-943417,,N,N,Awaiting Transfer Agent
PHX-080075,Transfer Agent Return,C-931289,YCWDOAYI5,S431049,S431049,ACCT-368485,GBP,11617,BX-832,TBX-242,Y,Y,N,N,Computershare,Bramwell Caldera,Over-the-Counter,2026-02-16,Y,Y,Y,RCT-386398,,,N,,N,N,N,,,N,N,In Progress
PHX-080076,Estate Submission,C-493455,WJHIH191Z,S079844,S079844,ACCT-982261,CAD,22480,BX-137,TBX-529,Y,Y,N,N,AST Trust,,DTC Damp,2026-02-08,Y,Y,Y,RCT-714249,DEP-4039254,,N,,N,N,Y,JEFE-835167,,N,N,Awaiting Transfer Agent
PHX-080077,Client Walk-In,C-476845,SDAN28YVA,S082151,S246806,ACCT-400068,GBP,18809,BX-630,TBX-698,Y,Y,N,N,AST Trust,Devereux Eastwick,Courier,2026-04-13,Y,Y,Y,RCT-138344,,TRK313620454,N,,N,N,N,,,N,N,In Progress
PHX-080078,Branch Submission,C-573917,D8W72I6BN,S758381,S758381,ACCT-894120,GBP,1552,BX-889,TBX-731,Y,Y,N,N,TSX Trust,Trevelyan Underhill,CDS Envelope,2025-09-04,Y,Y,Y,RCT-251106,,,N,,N,N,Y,JEFE-409899,,N,N,Awaiting Transfer Agent
PHX-080079,Client Walk-In,C-173026,BMK2E1CAW,S385221,S609177,ACCT-766930,GBP,14851,BX-975,TBX-168,Y,Y,N,N,Continental Stock Transfer,,DTC Damp,2026-03-28,Y,Y,Y,RCT-135966,DEP-6969557,,Y,106060.7,N,N,Y,JEFE-701847,,N,N,Completed
PHX-080080,Estate Submission,C-894461,COX6ZJ8ND,S735211,S904578,ACCT-644522,GBP,24070,BX-292,TBX-105,Y,Y,N,N,AST Trust,Marchetti Stensgaard,DTC Damp,2026-02-10,Y,Y,Y,RCT-647974,DEP-7545892,,Y,184321.16,Y,N,N,,,N,N,Completed
PHX-080081,Estate Submission,C-223506,35WXE59IY,S275840,S275840,ACCT-638284,CAD,15600,BX-703,TBX-414,Y,Y,Y,N,Equiniti,Bramwell Caldera,CDS Envelope,2025-07-20,Y,Y,Y,RCT-740386,,,Y,140392.73,N,N,N,,,N,N,Awaiting Transfer Agent
PHX-080082,Reorg Department,C-932436,YCJEP9CLS,S023701,S260312,ACCT-434198,CAD,13577,BX-390,TBX-724,Y,Y,Y,N,AST Trust,Holloway & Penhaligon LLP,CDS Envelope,2025-10-22,Y,Y,Y,RCT-874328,,,Y,85729.09,Y,Y,Y,JEFE-282327,,N,N,Completed
PHX-080083,Client Walk-In,C-400064,0BV6UOYI6,S027873,S027873,ACCT-743675,CAD,10014,BX-961,TBX-591,Y,Y,N,N,Equiniti,Bramwell Caldera,Courier,2026-05-15,Y,Y,Y,RCT-513434,,TRK265128313,Y,135969.99,Y,N,Y,JEFE-960891,,N,N,Awaiting Transfer Agent
PHX-080084,Reorg Department,C-232261,65E1CH6RA,S477620,S477620,ACCT-339552,GBP,18106,BX-334,TBX-796,Y,Y,Y,N,Equiniti,Trevelyan Underhill,Over-the-Counter,2025-09-17,Y,Y,Y,RCT-997511,,,Y,182921.72,N,Y,N,,,N,N,In Progress
PHX-080085,Reorg Department,C-114855,GZ023BQ12,S432184,S771436,ACCT-378680,CAD,4008,BX-380,TBX-937,Y,Y,N,N,Continental Stock Transfer,Devereux Eastwick,Over-the-Counter,2025-07-26,Y,Y,Y,RCT-983092,,,Y,69342.09,N,N,Y,JEFE-224814,,N,N,In Progress
PHX-080086,Transfer Agent Return,C-312149,REPZHFPJP,S959780,S959780,ACCT-450777,CAD,1959,BX-967,TBX-744,Y,N,N,N,Continental Stock Transfer,Bramwell Caldera,Over-the-Counter,2026-03-27,Y,Y,Y,RCT-438240,,,Y,97195.79,N,N,Y,JEFE-549991,,N,N,In Progress
